Doculect,l_0,c_tnsmood,c_aspect,c_Aper,c_Anum,c_Uper,c_Unum,c_plur,wordform,f_p1,f_p2,f_p3,f_stem,f_s1,f_s2,f_s3
Ngkolmpu,TOUCH,futirr,dur,1,sg,2,sg,npl,ntpinont,,nt,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,1,sg,2,sg,pl,ntpinont,,nt,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,1,sg,2,nsg,npl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,1,sg,2,nsg,pl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,1,sg,3,nsg,npl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,1,sg,3,nsg,pl,srpinont,,s,r,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,1,nsg,2,sg,npl,ntpinontey,,nt,,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,1,nsg,2,sg,pl,ntpinontey,,nt,,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,1,nsg,2,nsg,npl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,1,nsg,2,nsg,pl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,1,nsg,3,nsg,npl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,1,nsg,3,nsg,pl,srpinontey,,s,r,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,2,sg,1,sg,npl,bpinont,,b,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,2,sg,1,sg,pl,bpinont,,b,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,2,sg,1,nsg,npl,ntpinont,,nt,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,2,sg,1,nsg,pl,ntpinont,,nt,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,2,sg,3,nsg,npl,spinont,,s,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,2,sg,3,nsg,pl,spinont,,s,,pino,nt,,
Ngkolmpu,TOUCH,futirr,dur,2,nsg,1,sg,npl,bpinontey,,b,,pino,nt,,ey
Ngkolmpu,TOUCH,futirr,dur,2,nsg,1,sg,pl,bpinontey,,b,,pino,nt,,ey
